Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l2leaf,DC1-L2LEAF1A,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet5,True
l2leaf,DC1-L2LEAF1A,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet5,True
l2leaf,DC1-L2LEAF1A,Ethernet5,server,server01,Eth0,True
l2leaf,DC1-L2LEAF2A,Ethernet1,l3leaf,DC1-LEAF2A,Ethernet5,True
l2leaf,DC1-L2LEAF2A,Ethernet2,l3leaf,DC1-LEAF2B,Ethernet5,True
l2leaf,DC1-L2LEAF2A,Ethernet5,server,server02,Eth0,True
l3leaf,DC1-LEAF1A,Ethernet1,spine,DC1-SPINE1,Ethernet1,True
l3leaf,DC1-LEAF1A,Ethernet2,spine,DC1-SPINE2a,Ethernet1,True
l3leaf,DC1-LEAF1A,Ethernet3,mlag_peer,DC1-LEAF1B,Ethernet3,True
l3leaf,DC1-LEAF1A,Ethernet4,mlag_peer,DC1-LEAF1B,Ethernet4,True
l3leaf,DC1-LEAF1A,Ethernet5,l2leaf,DC1-L2LEAF1A,Ethernet1,True
l3leaf,DC1-LEAF1A,Ethernet48,l3_interface,,,True
l3leaf,DC1-LEAF1A,Ethernet48.2000,l3_interface,,,True
l3leaf,DC1-LEAF1A,Ethernet48.3000,l3_interface,,,True
l3leaf,DC1-LEAF1B,Ethernet1,spine,DC1-SPINE1,Ethernet2,True
l3leaf,DC1-LEAF1B,Ethernet2,spine,DC1-SPINE2a,Ethernet2,True
l3leaf,DC1-LEAF1B,Ethernet3,mlag_peer,DC1-LEAF1A,Ethernet3,True
l3leaf,DC1-LEAF1B,Ethernet4,mlag_peer,DC1-LEAF1A,Ethernet4,True
l3leaf,DC1-LEAF1B,Ethernet5,l2leaf,DC1-L2LEAF1A,Ethernet2,True
l3leaf,DC1-LEAF2A,Ethernet1,spine,DC1-SPINE1,Ethernet3,True
l3leaf,DC1-LEAF2A,Ethernet2,spine,DC1-SPINE2a,Ethernet3,True
l3leaf,DC1-LEAF2A,Ethernet3,mlag_peer,DC1-LEAF2B,Ethernet3,True
l3leaf,DC1-LEAF2A,Ethernet4,mlag_peer,DC1-LEAF2B,Ethernet4,True
l3leaf,DC1-LEAF2A,Ethernet5,l2leaf,DC1-L2LEAF2A,Ethernet1,True
l3leaf,DC1-LEAF2A,Ethernet48,l3_interface,,,True
l3leaf,DC1-LEAF2A,Ethernet48.2000,l3_interface,,,True
l3leaf,DC1-LEAF2A,Ethernet48.3000,l3_interface,,,True
l3leaf,DC1-LEAF2B,Ethernet1,spine,DC1-SPINE1,Ethernet4,True
l3leaf,DC1-LEAF2B,Ethernet2,spine,DC1-SPINE2a,Ethernet4,True
l3leaf,DC1-LEAF2B,Ethernet3,mlag_peer,DC1-LEAF2A,Ethernet3,True
l3leaf,DC1-LEAF2B,Ethernet4,mlag_peer,DC1-LEAF2A,Ethernet4,True
l3leaf,DC1-LEAF2B,Ethernet5,l2leaf,DC1-L2LEAF2A,Ethernet2,True
spine,DC1-SPINE1,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet1,True
spine,DC1-SPINE1,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet1,True
spine,DC1-SPINE1,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet1,True
spine,DC1-SPINE1,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet1,True
spine,DC1-SPINE2a,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet2,True
spine,DC1-SPINE2a,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet2,True
spine,DC1-SPINE2a,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet2,True
spine,DC1-SPINE2a,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet2,True
spine,DC1-SPINE3,Ethernet1,l3leaf,DC1-LEAF1A,Ethernet5,True
spine,DC1-SPINE3,Ethernet2,l3leaf,DC1-LEAF1B,Ethernet5,True
spine,DC1-SPINE3,Ethernet3,l3leaf,DC1-LEAF2A,Ethernet5,True
spine,DC1-SPINE3,Ethernet4,l3leaf,DC1-LEAF2B,Ethernet5,True
